fixed acidity	volatile acidity	citric acid	residual sugar	alcohol	quality	total	chlorides	free sulfur dioxide	total sulfur dioxide	density	pH	sulphates
6.2	0.12	0.34	1.5	9.0	6	182.1289	0.045	43.0	117.0	0.9939	3.42	0.51
5.8	0.27	0.2	14.95	10.2	5	237.2002	0.044000000000000004	22.0	179.0	0.9962	3.37	0.37
7.3	0.28	0.43	1.7	12.8	5	171.1905	0.08	21.0	123.0	0.9905	3.19	0.42
6.5	0.39	0.23	5.4	10.0	5	201.1544	0.051	25.0	149.0	0.9934	3.24	0.35
7.0	0.33	0.32	1.2	11.2	6	200.50359999999998	0.053	38.0	138.0	0.9906	3.13	0.28
7.3	0.24	0.39	17.95	8.6	5	233.1069	0.057	45.0	149.0	0.9999	3.21	0.36
7.3	0.24	0.39	17.95	8.6	5	233.1069	0.057	45.0	149.0	0.9999	3.21	0.36
6.7	0.23	0.39	2.5	9.4	6	244.8557	0.172	63.0	158.0	0.9937	3.11	0.36
6.7	0.24	0.39	2.9	9.4	6	244.23669999999998	0.17300000000000001	63.0	157.0	0.9937	3.1	0.34
7.0	0.31	0.26	7.4	9.8	6	217.4244	0.069	28.0	160.0	0.9954	3.13	0.46
6.6	0.24	0.27	1.4	9.5	6	207.84040000000002	0.057	33.0	152.0	0.9934	3.22	0.56
6.7	0.23	0.26	1.4	9.5	6	209.94340000000003	0.06	33.0	154.0	0.9934	3.24	0.56
7.4	0.18	0.31	1.4	10.0	7	229.03109999999998	0.057999999999999996	38.0	167.0	0.9931	3.16	0.53
6.2	0.45	0.26	4.4	9.8	4	294.957	0.063	63.0	206.0	0.9940000000000001	3.27	0.52
6.2	0.46	0.25	4.4	9.8	5	294.93989999999997	0.066	62.0	207.0	0.9939	3.25	0.52
7.0	0.31	0.26	7.4	9.8	6	217.4244	0.069	28.0	160.0	0.9954	3.13	0.46
6.9	0.19	0.35	5.0	9.8	5	209.14200000000002	0.067	32.0	150.0	0.995	3.36	0.48
7.2	0.19	0.31	1.6	11.7	6	229.8437	0.062	31.0	173.0	0.9917	3.35	0.44
6.6	0.25	0.29	1.1	11.0	7	187.2194	0.068	39.0	124.0	0.9914	3.34	0.58
6.2	0.16	0.33	1.1	10.9	7	126.518	0.057	21.0	82.0	0.991	3.32	0.46
6.4	0.18	0.35	1.0	10.9	6	170.5261	0.045	39.0	108.0	0.9911	3.31	0.35
6.8	0.2	0.59	0.9	9.1	6	192.16	0.147	38.0	132.0	0.993	3.05	0.38
6.9	0.25	0.35	1.3	11.0	6	244.47980000000004	0.039	29.0	191.0	0.9908	3.13	0.52
7.2	0.21	0.34	11.9	9.6	6	283.87919999999997	0.043	37.0	213.0	0.9962	3.09	0.5
6.0	0.19	0.26	12.4	8.9	6	229.45520000000002	0.048	50.0	147.0	0.9972	3.3	0.36
6.6	0.38	0.15	4.6	10.2	6	129.4571	0.044000000000000004	25.0	78.0	0.9931	3.11	0.38
7.4	0.2	0.36	1.2	9.9	6	178.7906	0.038	44.0	111.0	0.9926	3.36	0.34
6.8	0.22	0.24	4.9	8.6	6	178.3371	0.092	30.0	123.0	0.9951	3.03	0.46
6.0	0.19	0.26	12.4	8.9	6	229.45520000000002	0.048	50.0	147.0	0.9972	3.3	0.36
7.0	0.47	0.07	1.1	10.5	5	191.526	0.035	17.0	151.0	0.991	3.02	0.34
6.6	0.38	0.15	4.6	10.2	6	129.4571	0.044000000000000004	25.0	78.0	0.9931	3.11	0.38
7.2	0.24	0.27	1.4	10.3	6	177.0507	0.038	31.0	122.0	0.9927	3.15	0.46
6.2	0.35	0.03	1.2	9.1	5	170.6974	0.064	29.0	120.0	0.9934	3.22	0.54
6.4	0.26	0.24	6.4	12.6	7	181.64030000000002	0.04	27.0	124.0	0.9903	3.22	0.49
6.7	0.25	0.13	1.2	9.8	5	277.673	0.040999999999999995	81.0	174.0	0.992	3.14	0.42
6.7	0.23	0.31	2.1	10.7	8	151.0486	0.046	30.0	96.0	0.9926	3.33	0.64
7.4	0.24	0.29	10.1	9.5	5	158.0562	0.05	21.0	105.0	0.9962	3.13	0.35
6.2	0.27	0.43	7.8	9.0	6	320.3616	0.055999999999999994	48.0	244.0	0.9956	3.1	0.51
6.8	0.3	0.23	4.6	9.5	5	315.40680000000003	0.061	50.5	238.5	0.9958	3.32	0.6
6.0	0.27	0.28	4.8	10.0	5	258.8094	0.063	31.0	201.0	0.9964	3.69	0.71
8.6	0.23	0.46	1.0	9.1	6	104.87809999999999	0.054000000000000006	9.0	72.0	0.9941	2.95	0.49
6.7	0.23	0.31	2.1	10.7	8	151.0486	0.046	30.0	96.0	0.9926	3.33	0.64
7.4	0.24	0.29	10.1	9.5	5	158.0562	0.05	21.0	105.0	0.9962	3.13	0.35
7.1	0.18	0.36	1.4	12.7	7	144.40279999999998	0.043	31.0	87.0	0.9898	3.26	0.37
7.0	0.32	0.34	1.3	12.0	7	114.95320000000001	0.042	20.0	69.0	0.9912	3.31	0.65
7.4	0.18	0.3	8.8	9.3	5	159.54010000000002	0.064	26.0	103.0	0.9961	2.94	0.56
6.7	0.54	0.28	5.4	9.0	5	152.6149	0.06	21.0	105.0	0.9949	3.27	0.37
6.8	0.22	0.31	1.4	10.6	6	172.5359	0.053	34.0	114.0	0.9929	3.39	0.77
7.1	0.2	0.34	16.0	9.2	6	254.69849999999997	0.05	51.0	166.0	0.9985	3.21	0.6
7.1	0.34	0.2	6.1	10.0	5	239.38759999999996	0.063	47.0	164.0	0.9946	3.17	0.42
7.3	0.22	0.3	8.2	9.5	6	279.3536	0.047	42.0	207.0	0.9966	3.33	0.46
7.1	0.43	0.61	11.8	8.7	5	242.24239999999998	0.045	54.0	155.0	0.9974	3.11	0.45
7.1	0.44	0.62	11.8	8.7	6	237.2815	0.044000000000000004	52.0	152.0	0.9975	3.12	0.46
7.2	0.39	0.63	11.0	8.7	6	243.4914	0.044000000000000004	55.0	156.0	0.9974	3.09	0.44
6.8	0.25	0.31	13.3	9.7	6	306.10720000000003	0.05	69.0	202.0	0.9972	3.22	0.48
7.1	0.43	0.61	11.8	8.7	5	242.24239999999998	0.045	54.0	155.0	0.9974	3.11	0.45
7.1	0.44	0.62	11.8	8.7	6	237.2815	0.044000000000000004	52.0	152.0	0.9975	3.12	0.46
7.2	0.39	0.63	11.0	8.7	6	243.4914	0.044000000000000004	55.0	156.0	0.9974	3.09	0.44
6.1	0.27	0.43	7.5	9.0	5	335.9347000000001	0.049	65.0	243.0	0.9957	3.12	0.47
6.9	0.24	0.33	1.7	12.6	7	209.45499999999998	0.035	47.0	136.0	0.99	3.26	0.4
6.9	0.21	0.33	1.8	12.6	7	210.5239	0.034	48.0	136.0	0.9899	3.25	0.41
7.5	0.17	0.32	1.7	11.5	7	224.8716	0.04	51.0	148.0	0.9916	3.21	0.44
7.1	0.26	0.29	12.4	9.2	6	335.75090000000006	0.044000000000000004	62.0	240.0	0.9969	3.04	0.42
6.0	0.34	0.66	15.9	8.8	6	226.38389999999998	0.046	26.0	164.0	0.9979	3.14	0.5
8.6	0.265	0.36	1.2	11.4	7	121.1603	0.034	15.0	80.0	0.9913	2.95	0.36
9.8	0.36	0.46	10.5	10.1	4	122.44359999999999	0.038	4.0	83.0	0.9956	2.89	0.3
6.0	0.34	0.66	15.9	8.8	6	226.38389999999998	0.046	26.0	164.0	0.9979	3.14	0.5
7.4	0.25	0.37	13.5	9.1	5	279.1175	0.06	52.0	192.0	0.9975	3.0	0.44
7.1	0.12	0.32	9.6	9.4	5	257.4002	0.054000000000000006	64.0	162.0	0.9962	3.4	0.41
6.0	0.21	0.24	12.1	9.4	5	251.72700000000003	0.05	55.0	164.0	0.997	3.34	0.39
7.5	0.305	0.4	18.9	9.0	5	254.614	0.059000000000000004	44.0	170.0	1.0	2.99	0.46
7.4	0.25	0.37	13.5	9.1	5	279.1175	0.06	52.0	192.0	0.9975	3.0	0.44
7.3	0.13	0.32	14.4	9.2	6	178.9484	0.051	34.0	109.0	0.9974	3.2	0.35
7.1	0.12	0.32	9.6	9.4	5	257.4002	0.054000000000000006	64.0	162.0	0.9962	3.4	0.41
7.1	0.23	0.35	16.5	9.1	6	269.069	0.04	60.0	171.0	0.9990000000000001	3.16	0.59
7.1	0.23	0.35	16.5	9.1	6	269.069	0.04	60.0	171.0	0.9990000000000001	3.16	0.59
6.9	0.33	0.28	1.3	10.3	5	248.02370000000002	0.051	37.0	187.0	0.9927	3.27	0.6
6.5	0.17	0.54	8.5	8.8	6	255.8679	0.08199999999999999	64.0	163.0	0.9959	2.89	0.39
7.2	0.27	0.46	18.75	8.9	5	340.192	0.052000000000000005	45.0	255.0	1.0	3.04	0.52
7.2	0.31	0.5	13.3	9.2	5	298.0442	0.055999999999999994	68.0	195.0	0.9982	3.01	0.47
6.7	0.41	0.34	9.2	9.1	5	209.5258	0.049	29.0	150.0	0.9968	3.22	0.51
6.7	0.41	0.34	9.2	9.1	5	209.5258	0.049	29.0	150.0	0.9968	3.22	0.51
5.5	0.485	0.0	1.5	9.7	4	133.274	0.065	8.0	103.0	0.9940000000000001	3.63	0.4
6.0	0.31	0.24	3.3	11.3	6	193.9324	0.040999999999999995	25.0	143.0	0.9914	3.31	0.44
7.0	0.14	0.4	1.7	11.8	6	126.67609999999999	0.035	16.0	85.0	0.9911	3.19	0.42
7.2	0.31	0.5	13.3	9.2	5	298.0442	0.055999999999999994	68.0	195.0	0.9982	3.01	0.47
7.3	0.32	0.48	13.3	9.2	5	288.1982	0.06	57.0	196.0	0.9982	3.04	0.5
5.9	0.36	0.04	5.7	10.2	5	134.9694	0.046	21.0	87.0	0.9934	3.22	0.51
7.8	0.24	0.32	12.2	8.8	5	213.9624	0.054000000000000006	42.0	138.0	0.9984	3.01	0.54
7.4	0.16	0.31	6.85	9.7	5	191.1042	0.059000000000000004	31.0	131.0	0.9952	3.29	0.34
6.9	0.19	0.28	5.0	9.1	6	186.1732	0.057999999999999996	14.0	146.0	0.9952	3.29	0.36
6.4	0.13	0.47	1.6	9.8	6	221.0548	0.092	40.0	158.0	0.9928	3.21	0.36
6.7	0.19	0.36	1.1	11.0	6	230.1172	0.026000000000000002	63.0	143.0	0.9912	3.27	0.48
7.4	0.39	0.23	7.0	10.5	5	185.10699999999997	0.033	29.0	126.0	0.9940000000000001	3.14	0.42
6.5	0.24	0.32	7.6	9.7	7	280.3838	0.038	48.0	203.0	0.9958	3.45	0.54
6.1	0.3	0.56	2.8	10.9	7	251.56640000000002	0.044000000000000004	47.0	179.0	0.9924	3.3	0.57
6.1	0.3	0.56	2.7	10.9	6	255.4784	0.046	46.0	184.0	0.9924	3.31	0.57
5.7	0.26	0.25	10.4	10.6	5	95.984	0.02	7.0	57.0	0.9940000000000001	3.39	0.37
6.5	0.24	0.32	7.6	9.7	7	280.3838	0.038	48.0	203.0	0.9958	3.45	0.54
6.5	0.425	0.4	13.1	9.0	5	334.2609	0.038	59.0	241.0	0.9979	3.23	0.57
6.6	0.24	0.27	15.8	9.2	5	270.8932	0.035	46.0	188.0	0.9982	3.24	0.51
6.8	0.27	0.22	8.1	8.9	5	287.03009999999995	0.034	55.0	203.0	0.9961	3.19	0.52
6.7	0.27	0.31	15.7	9.6	5	260.4339	0.036000000000000004	44.0	179.0	0.9979	3.26	0.56
8.2	0.23	0.4	1.2	10.7	6	182.249	0.027000000000000003	36.0	121.0	0.992	3.12	0.38
7.1	0.37	0.67	10.5	8.7	5	235.9825	0.045	49.0	155.0	0.9975	3.16	0.44
6.8	0.19	0.36	1.9	10.8	7	150.76670000000001	0.035	30.0	96.0	0.9917	3.15	0.54
8.1	0.28	0.39	1.9	11.8	6	124.2413	0.028999999999999998	18.0	79.0	0.9923	3.23	0.52
6.3	0.31	0.34	2.2	10.2	5	121.11770000000001	0.045	20.0	77.0	0.9927	3.3	0.43
7.1	0.37	0.67	10.5	8.7	5	235.9825	0.045	49.0	155.0	0.9975	3.16	0.44
7.9	0.21	0.4	1.2	10.8	6	170.29100000000003	0.039	38.0	107.0	0.992	3.21	0.54
8.5	0.21	0.41	4.3	9.7	6	150.86069999999998	0.036000000000000004	24.0	99.0	0.9947	3.18	0.53
8.1	0.2	0.4	2.0	11.2	6	132.5891	0.037000000000000005	19.0	87.0	0.9921	3.12	0.54
6.3	0.255	0.37	1.1	10.9	6	174.3455	0.04	37.0	114.0	0.9905	3.0	0.39
5.6	0.16	0.27	1.4	10.1	6	243.2158	0.044000000000000004	53.0	168.0	0.9918	3.28	0.37
6.4	0.595	0.14	5.2	9.0	4	138.12810000000002	0.057999999999999996	15.0	97.0	0.9951	3.38	0.36
6.3	0.34	0.33	4.6	12.0	7	127.55569999999999	0.034	19.0	80.0	0.9917	3.38	0.58
6.9	0.25	0.3	4.1	9.4	6	164.36800000000002	0.054000000000000006	23.0	116.0	0.9940000000000001	2.99	0.38
7.9	0.22	0.38	8.0	11.5	7	230.4764	0.043	46.0	152.0	0.9934	3.12	0.32
7.6	0.18	0.46	10.2	9.9	6	225.9618	0.055	58.0	135.0	0.9968	3.14	0.43
6.9	0.25	0.3	4.1	9.4	6	164.36800000000002	0.054000000000000006	23.0	116.0	0.9940000000000001	2.99	0.38
7.2	0.18	0.41	1.2	10.4	5	162.01989999999998	0.048	41.0	97.0	0.9919	3.14	0.45
8.2	0.23	0.4	7.5	9.7	6	118.97560000000001	0.049	12.0	76.0	0.9966	3.06	0.84
7.4	0.24	0.42	14.0	8.9	6	281.33389999999997	0.066	48.0	198.0	0.9979	2.89	0.42
7.4	0.24	0.42	14.0	8.9	6	281.33389999999997	0.066	48.0	198.0	0.9979	2.89	0.42
6.1	0.32	0.24	1.5	12.4	7	187.29579999999999	0.036000000000000004	38.0	124.0	0.9898	3.29	0.42
5.2	0.44	0.04	1.4	12.1	8	185.89540000000002	0.036000000000000004	43.0	119.0	0.9894	3.36	0.33
5.2	0.44	0.04	1.4	12.1	8	185.89540000000002	0.036000000000000004	43.0	119.0	0.9894	3.36	0.33
6.1	0.32	0.24	1.5	12.4	7	187.29579999999999	0.036000000000000004	38.0	124.0	0.9898	3.29	0.42
6.4	0.22	0.56	14.5	9.1	5	221.213	0.055	27.0	159.0	0.998	2.98	0.4
6.3	0.36	0.3	4.8	10.6	5	126.07220000000001	0.049	14.0	85.0	0.9932	3.28	0.39
7.4	0.24	0.42	14.0	8.9	6	281.33389999999997	0.066	48.0	198.0	0.9979	2.89	0.42
6.7	0.24	0.35	13.1	9.5	5	303.587	0.05	64.0	205.0	0.997	3.15	0.5
7.0	0.23	0.36	13.0	9.8	5	284.08820000000003	0.051	72.0	177.0	0.9972	3.16	0.49
8.4	0.27	0.46	8.7	9.6	6	268.2054	0.048	39.0	197.0	0.9974	3.14	0.59
6.7	0.46	0.18	2.4	12.6	7	149.8836	0.034	25.0	98.0	0.9896	3.08	0.44
7.5	0.29	0.31	8.95	9.3	5	202.02180000000004	0.055	20.0	151.0	0.9968	3.08	0.54
9.8	0.42	0.48	9.85	10.0	5	149.7398	0.034	5.0	110.0	0.9958	2.87	0.29
7.1	0.3	0.46	1.5	12.7	6	188.7766	0.066	29.0	133.0	0.9906	3.12	0.54
7.9	0.19	0.45	1.5	11.0	6	138.5967	0.045	17.0	96.0	0.9917	3.13	0.39
7.6	0.48	0.37	0.8	11.4	4	129.09720000000002	0.037000000000000005	4.0	100.0	0.9902	3.03	0.39
6.3	0.22	0.43	4.55	11.5	7	188.70980000000003	0.038	31.0	130.0	0.9918	3.35	0.33
7.5	0.27	0.31	17.7	10.2	5	246.76	0.051	33.0	173.0	0.9990000000000001	3.09	0.64
6.9	0.23	0.4	7.5	11.4	6	231.84270000000004	0.04	50.0	151.0	0.9927	3.11	0.27
7.2	0.32	0.47	5.1	12.6	4	114.16499999999999	0.044000000000000004	19.0	65.0	0.991	3.03	0.41
5.9	0.23	0.3	12.9	9.4	5	260.4512	0.054000000000000006	57.0	170.0	0.9972	3.28	0.39
6.0	0.67	0.07	1.2	8.7	4	138.1531	0.06	9.0	108.0	0.9931	3.11	0.35
6.4	0.25	0.32	5.5	9.2	6	243.584	0.049	41.0	176.0	0.995	3.19	0.68
6.4	0.33	0.31	5.5	9.3	6	241.7331	0.048	42.0	173.0	0.9951	3.19	0.66
7.1	0.34	0.15	1.2	9.2	5	266.55659999999995	0.053	61.0	183.0	0.9936	3.09	0.43
6.8	0.28	0.4	22.0	8.7	5	257.659	0.048	48.0	167.0	1.001	2.93	0.5
6.9	0.27	0.4	14.0	9.6	6	326.9779	0.05	64.0	227.0	0.9979	3.18	0.58
6.8	0.26	0.56	11.9	9.3	5	323.51	0.043	64.0	226.0	0.997	3.02	0.63
6.8	0.29	0.56	11.9	9.3	5	329.5402	0.043	66.0	230.0	0.9972	3.02	0.63
6.7	0.24	0.41	9.4	9.9	6	246.4154	0.04	49.0	166.0	0.9954	3.12	0.61
5.9	0.3	0.23	4.2	11.0	5	187.3104	0.038	42.0	119.0	0.9924	3.15	0.5
6.8	0.53	0.35	3.8	12.7	8	164.03459999999995	0.034	26.0	109.0	0.9906	3.26	0.57
6.5	0.28	0.28	8.5	8.9	4	293.13319999999993	0.047	54.0	210.0	0.9962	3.09	0.54
6.6	0.28	0.28	8.5	8.9	6	295.2482	0.052000000000000005	55.0	211.0	0.9962	3.09	0.55
6.8	0.28	0.4	22.0	8.7	5	257.659	0.048	48.0	167.0	1.001	2.93	0.5
6.8	0.28	0.36	8.0	11.4	6	182.26780000000002	0.045	28.0	123.0	0.9928	3.02	0.37
6.6	0.15	0.34	5.1	9.6	5	185.6192	0.055	34.0	125.0	0.9942	3.36	0.42
6.4	0.29	0.44	3.6	9.1	5	280.45420000000007	0.2	75.0	181.0	0.9942	3.02	0.41
6.4	0.3	0.45	3.5	9.1	6	280.35119999999995	0.19699999999999998	76.0	180.0	0.9942	3.02	0.39
6.4	0.29	0.44	3.6	9.1	5	282.4112	0.19699999999999998	75.0	183.0	0.9942	3.01	0.38
6.8	0.26	0.24	7.8	8.9	5	296.64810000000006	0.052000000000000005	54.0	214.0	0.9961	3.13	0.47
7.1	0.32	0.24	13.1	8.8	5	290.19800000000004	0.05	52.0	204.0	0.998	3.1	0.49
6.8	0.26	0.24	7.8	8.9	5	296.64810000000006	0.052000000000000005	54.0	214.0	0.9961	3.13	0.47
6.8	0.27	0.26	16.1	9.3	5	288.4274	0.049	55.0	196.0	0.9984	3.15	0.5
7.1	0.32	0.24	13.1	8.8	5	290.19800000000004	0.05	52.0	204.0	0.998	3.1	0.49
6.9	0.54	0.32	13.2	9.6	5	324.3073	0.05	53.0	236.0	0.9973	3.2	0.5
6.8	0.26	0.34	13.9	12.0	6	211.18890000000002	0.034	39.0	134.0	0.9949	3.33	0.53
5.8	0.28	0.35	2.3	10.2	4	173.75539999999998	0.053	36.0	114.0	0.9924	3.28	0.5
6.4	0.21	0.5	11.6	8.8	5	230.12920000000003	0.042	45.0	153.0	0.9972	3.15	0.43
7.0	0.16	0.32	8.3	9.2	5	193.5708	0.045	38.0	126.0	0.9958	3.21	0.34
10.2	0.44	0.88	6.2	9.9	4	176.1658	0.049	20.0	124.0	0.9968	2.99	0.51
6.8	0.57	0.29	2.2	10.2	5	117.15379999999998	0.04	15.0	77.0	0.9938	3.32	0.74
6.1	0.4	0.31	0.9	9.5	6	215.241	0.048	23.0	170.0	0.993	3.22	0.77
5.6	0.245	0.25	9.7	10.5	5	110.971	0.032	12.0	68.0	0.9940000000000001	3.31	0.34
6.8	0.18	0.38	1.4	11.2	7	170.89979999999997	0.038	35.0	111.0	0.9918	3.32	0.59
7.0	0.16	0.32	8.3	9.2	5	193.5708	0.045	38.0	126.0	0.9958	3.21	0.34
6.7	0.13	0.29	5.3	9.7	6	179.97539999999998	0.051	31.0	122.0	0.9944	3.44	0.37
6.2	0.25	0.25	1.4	11.1	7	163.96120000000002	0.03	35.0	105.0	0.9912	3.3	0.44
5.8	0.26	0.24	9.2	9.4	5	236.6301	0.044000000000000004	55.0	152.0	0.9961	3.31	0.38
7.5	0.27	0.36	7.0	11.0	5	239.5199	0.036000000000000004	45.0	164.0	0.9939	3.03	0.33
5.8	0.26	0.24	9.2	9.4	5	236.6301	0.044000000000000004	55.0	152.0	0.9961	3.31	0.38
5.7	0.28	0.24	17.5	9.4	5	264.9129	0.044000000000000004	60.0	167.0	0.9989	3.31	0.44
7.5	0.23	0.36	7.0	11.0	5	234.47979999999998	0.036000000000000004	43.0	161.0	0.9938	3.04	0.32
7.5	0.27	0.36	7.0	11.0	5	239.5199	0.036000000000000004	45.0	164.0	0.9939	3.03	0.33
7.2	0.685	0.21	9.5	9.1	6	236.3121	0.07	33.0	172.0	0.9971	3.0	0.55
6.2	0.25	0.25	1.4	11.1	7	163.96120000000002	0.03	35.0	105.0	0.9912	3.3	0.44
6.5	0.19	0.3	0.8	9.1	6	198.73659999999995	0.043	33.0	144.0	0.9936	3.42	0.39
6.3	0.495	0.22	1.8	10.4	6	195.18389999999997	0.046	31.0	140.0	0.9929	3.39	0.54
7.1	0.24	0.41	17.8	8.7	5	223.00579999999997	0.046	39.0	145.0	0.9998	3.32	0.39
6.4	0.17	0.32	2.4	9.7	6	265.0318	0.048	41.0	200.0	0.9938	3.5	0.5
7.1	0.25	0.32	10.3	9.1	6	369.79789999999997	0.040999999999999995	66.0	272.0	0.9969	3.17	0.52
6.4	0.17	0.32	2.4	9.7	6	265.0318	0.048	41.0	200.0	0.9938	3.5	0.5
7.1	0.24	0.41	17.8	8.7	5	223.00579999999997	0.046	39.0	145.0	0.9998	3.32	0.39
6.8	0.64	0.08	9.7	8.9	4	199.00920000000002	0.062	26.0	142.0	0.9972	3.37	0.46
8.3	0.28	0.4	7.8	9.6	6	263.2686	0.040999999999999995	38.0	194.0	0.9976	3.34	0.51
8.2	0.27	0.39	7.8	9.5	6	288.0166	0.039	49.0	208.0	0.9976	3.31	0.51
7.2	0.23	0.38	14.3	9.0	6	284.69589999999994	0.057999999999999996	55.0	194.0	0.9979	3.09	0.44
7.2	0.23	0.38	14.3	9.0	6	284.69589999999994	0.057999999999999996	55.0	194.0	0.9979	3.09	0.44
7.2	0.23	0.38	14.3	9.0	6	284.69589999999994	0.057999999999999996	55.0	194.0	0.9979	3.09	0.44
7.2	0.23	0.38	14.3	9.0	6	284.69589999999994	0.057999999999999996	55.0	194.0	0.9979	3.09	0.44
6.8	0.52	0.32	13.2	9.6	6	310.2512	0.044000000000000004	54.0	221.0	0.9972	3.27	0.5
7.0	0.26	0.59	1.4	11.1	7	185.12879999999998	0.037000000000000005	40.0	120.0	0.9918	3.34	0.41
6.2	0.25	0.21	15.55	9.6	6	223.96719999999996	0.039	28.0	159.0	0.9982	3.48	0.64
7.3	0.32	0.23	13.7	8.7	5	280.95849999999996	0.05	49.0	197.0	0.9985	3.2	0.46
7.7	0.31	0.26	7.8	10.4	5	144.12539999999998	0.031	23.0	90.0	0.9944	3.13	0.5
7.1	0.21	0.37	2.4	11.4	7	149.02630000000002	0.026000000000000002	23.0	100.0	0.9903	3.15	0.38
6.8	0.24	0.34	2.7	9.7	6	307.70039999999995	0.047	64.5	218.5	0.9934	3.3	0.58
6.9	0.4	0.56	11.2	8.7	5	214.4005	0.043	40.0	142.0	0.9975	3.14	0.46
6.1	0.18	0.36	2.0	11.3	6	294.63030000000003	0.038	20.0	249.5	0.9923	3.37	0.79
6.8	0.21	0.27	2.1	12.6	7	191.77	0.03	26.0	139.0	0.99	3.16	0.61
5.8	0.2	0.27	1.4	10.9	7	112.20150000000001	0.031	12.0	77.0	0.9905	3.25	0.36
5.6	0.19	0.26	1.4	10.9	7	110.99050000000001	0.03	12.0	76.0	0.9905	3.25	0.37
6.1	0.41	0.14	10.4	10.0	5	168.91299999999998	0.037000000000000005	18.0	119.0	0.996	3.38	0.45
5.9	0.21	0.28	4.6	10.0	4	265.45939999999996	0.053	40.0	199.0	0.9964	3.72	0.7
8.5	0.26	0.21	16.2	9.8	3	277.562	0.07400000000000001	41.0	197.0	0.998	3.02	0.5
